id,address,capacity,latitude,longitude,parking_type
opendata_ruhver_parkseiten_line.82,Ohlmüllerstr.,0.0,48.12610093869091,11.57871776144043,Parkplatz
opendata_ruhver_parkseiten_line.83,Eduard-Schmid-Str.,10.0,48.12608867230967,11.57760632452446,Parkplatz
opendata_ruhver_parkseiten_line.84,Eduard-Schmid-Str.,17.0,48.12528846368076,11.576471587780635,Parkplatz
opendata_ruhver_parkseiten_line.85,Eduard-Schmid-Str.,25.0,48.12416368458831,11.575490649392352,Parkplatz
opendata_ruhver_parkseiten_line.86,Ganghoferstr.,12.0,48.126266817654454,11.539232607959311,Parkplatz
opendata_ruhver_parkseiten_line.87,Falkenstr.,13.0,48.122423569353785,11.579469049550095,Parkplatz
opendata_ruhver_parkseiten_line.88,Falkenstr.,10.0,48.12274426889889,11.579432202596022,Parkplatz
opendata_ruhver_parkseiten_line.89,Falkenstr.,5.0,48.12149197543348,11.578327973378265,Parkplatz
opendata_ruhver_parkseiten_line.90,Falkenstr.,14.0,48.12085683870234,11.577282841092611,Parkplatz
opendata_ruhver_parkseiten_line.91,Kurfürstenstr.,22.0,48.15846227483144,11.575448501707886,Parkplatz
opendata_ruhver_parkseiten_line.92,Ganghoferstr.,12.0,48.1266126114619,11.539160941113929,Parkplatz
opendata_ruhver_parkseiten_line.93,Kurfürstenstr.,11.0,48.15444511215303,11.576218160068183,Parkplatz
opendata_ruhver_parkseiten_line.94,Kurfürstenstr.,5.0,48.153297185135855,11.576417192563806,Parkplatz
opendata_ruhver_parkseiten_line.95,Nordendstr.,13.0,48.159135419469,11.574912097082382,Parkplatz
opendata_ruhver_parkseiten_line.96,Ganghoferstr.,8.0,48.125673848522986,11.539312370517216,Parkplatz
opendata_ruhver_parkseiten_line.97,Clemensstr.,6.0,48.163355718727196,11.584628880209268,Parkplatz
opendata_ruhver_parkseiten_line.98,Clemensstr.,14.0,48.163322316279434,11.585543336128055,Parkplatz
