FID,angebot,parkregel_gruppe,parkregel_name,prm_name,strasse,geoportal_class,center_lon,center_lat
opendata_ruhver_parkseiten_line.2121,18.0,Mischparken,M 9-23,Untergiesing,Konradinstr.,Mischparken,11.5710382193788,48.114680812370224
opendata_ruhver_parkseiten_line.2122,0.0,Absolutes Halteverbot (0-24 Uhr),AHV 0-24,Untergiesing,Hans-Mielich-Pl.,Absolutes Halteverbot,11.570715882811164,48.11656475800961
opendata_ruhver_parkseiten_line.2123,0.0,Absolutes Halteverbot (0-24 Uhr),AHV 0-24,Untergiesing,Hans-Mielich-Pl.,Absolutes Halteverbot,11.570731780366733,48.116640125420304
opendata_ruhver_parkseiten_line.2124,8.0,Mischparken,M 9-23,Untergiesing,Hans-Mielich-Pl.,Mischparken,11.57019597697618,48.11610232701203
opendata_ruhver_parkseiten_line.2125,10.0,Mischparken,M 9-23,Untergiesing,Pilgersheimer Str.,Mischparken,11.572433139619395,48.11490478409007
opendata_ruhver_parkseiten_line.2126,0.0,Absolutes Halteverbot (0-24 Uhr),AHV 0-24,Untergiesing,Hans-Mielich-Pl.,Absolutes Halteverbot,11.570160180974524,48.11641023647614
opendata_ruhver_parkseiten_line.2127,12.0,Mischparken,M 9-23,Untergiesing,Hans-Mielich-Str.,Mischparken,11.570176429292543,48.11443074940629
opendata_ruhver_parkseiten_line.2128,8.0,Mischparken,"M 9-18, Bew 18-23",Untergiesing,Jamnitzerstr.,Mischparken,11.570583298082843,48.113955584886085
opendata_ruhver_parkseiten_line.2129,2.0,Mischparken,"M 9-18, Bew 18-23",Untergiesing,Jamnitzerstr.,Mischparken,11.571144495703914,48.11384511513584
opendata_ruhver_parkseiten_line.2130,0.0,Absolutes Halteverbot (0-24 Uhr),AHV 0-24,Untergiesing,Kupferhammerstr.,Absolutes Halteverbot,11.576503897960869,48.117548505607225
opendata_ruhver_parkseiten_line.2131,0.0,Absolutes Halteverbot (0-24 Uhr),AHV 0-24,Untergiesing,Kleiststr.,Absolutes Halteverbot,11.574010144341646,48.11758047083016
opendata_ruhver_parkseiten_line.2132,7.0,Bewohnerparken,Bew 9-23,Untergiesing,Kleiststr.,Bewohnerparken,11.574424651980596,48.11768943258526
opendata_ruhver_parkseiten_line.2133,23.0,Mischparken,M 9-23,Herzog-Ernst-Platz,Pfeuferstr.,Mischparken,11.54136236476363,48.1237738646621
opendata_ruhver_parkseiten_line.2134,6.0,Absolutes Halteverbot temporär,"AHV 6:30-8:30, AHV 16-19, EHV 8:30-16, sonst M",Herzog-Ernst-Platz,Pfeuferstr.,Absolutes Halteverbot (auch temporär),11.541116557300676,48.12241895681847
opendata_ruhver_parkseiten_line.2135,8.0,Mischparken,M 9-23,Herzog-Ernst-Platz,Ganghoferstr.,Mischparken,11.539294263354474,48.127613654605724
opendata_ruhver_parkseiten_line.2136,17.0,Mischparken,M 9-23,Schyrenbad,Untere Weidenstr.,Mischparken,11.570540487364385,48.119419273056764
opendata_ruhver_parkseiten_line.2137,3.0,Mischparken,M 9-23,Schyrenbad,Claude-Lorrain-Str.,Mischparken,11.569847304749596,48.117931309549
opendata_ruhver_parkseiten_line.2138,0.0,Absolutes Halteverbot (0-24 Uhr),AHV 0-24,Schyrenbad,Obere Weidenstr.,Absolutes Halteverbot,11.57065281801999,48.1180729264451
opendata_ruhver_parkseiten_line.2139,0.0,Absolutes Halteverbot (0-24 Uhr),AHV 0-24,Schyrenbad,Humboldtstr.,Absolutes Halteverbot,11.570336995317225,48.12135754912075
opendata_ruhver_parkseiten_line.2140,8.0,Mischparken,M 9-23,Schyrenbad,Untere Weidenstr.,Mischparken,11.573517122145407,48.11807161463776
opendata_ruhver_parkseiten_line.2141,19.0,Mischparken,M 9-23,Schyrenbad,Untere Weidenstr.,Mischparken,11.572953911788273,48.118409844158954
opendata_ruhver_parkseiten_line.2142,21.0,Mischparken,M 9-23,Schyrenbad,Schyrenstr.,Mischparken,11.569949049630864,48.12108979095712
opendata_ruhver_parkseiten_line.2143,0.0,Absolutes Halteverbot (0-24 Uhr),AHV 0-24,Schyrenbad,Humboldtstr.,Absolutes Halteverbot,11.571596279437184,48.12094728972586
opendata_ruhver_parkseiten_line.2144,6.0,Mischparken,M 9-23,Schyrenbad,Claude-Lorrain-Str.,Mischparken,11.569773440498544,48.119456475215664
opendata_ruhver_parkseiten_line.2145,25.0,Mischparken,M 9-23,Schyrenbad,Claude-Lorrain-Str.,Mischparken,11.569667021940868,48.11905370949554
opendata_ruhver_parkseiten_line.2146,13.0,Mischparken,M 9-23,Schyrenbad,Claude-Lorrain-Str.,Mischparken,11.569633560284133,48.11836131636409
opendata_ruhver_parkseiten_line.2147,10.0,Bewohnerparken,Bew 9-23,Schyrenbad,Birkenau,Bewohnerparken,11.571596542458238,48.11855746012466
opendata_ruhver_parkseiten_line.2148,0.0,Absolutes Halteverbot (0-24 Uhr),AHV 0-24,Schyrenbad,Birkenau,Absolutes Halteverbot,11.571170670727154,48.11808204238636
opendata_ruhver_parkseiten_line.2149,26.0,Mischparken,M 9-18,Barbarastraße,Infanteriestr.,Mischparken,11.554209199402278,48.1604646225228
opendata_ruhver_parkseiten_line.2150,9.0,Mischparken mit Parkscheibe,"PS 4h 9-23, Bew frei",Winzererstraße,Schwere-Reiter-Str.,Mischparken mit Parkscheibe,11.56123637669342,48.161326888039255
